micro_cluster_id,theme_title,post_id,title,reading_order,collection_size,semantic_coherence,primary_tractates,reading_time,research_significance
FC-14,דרוש ופירוש - Talmudic Biblical Interpretation,160397603.pt1-the-seven-prophetesses-of-israel,Pt1 The Seven Prophetesses of Israel (Megillah 14a-b),3,7,0.7125173086059655,Sotah,~15 min (detailed),Concentrated exploration of rabbinic hermeneutical approaches to Scripture
FC-14,דרוש ופירוש - Talmudic Biblical Interpretation,159888641.the-righteous-women-and-the-redemption,The Righteous Women and the Redemption from Egypt: Talmudic Interpretations of Exodus 1:15 (Sotah 11b),4,7,0.7125173086059655,Sotah,~18 min (detailed),Concentrated exploration of rabbinic hermeneutical approaches to Scripture
FC-14,דרוש ופירוש - Talmudic Biblical Interpretation,159968037.pharaohs-decree-and-the-midwives,Pharaoh’s Decree and the Midwives’ Response: Talmudic Interpretations of Exodus 1:16-21 (Sotah 11b),5,7,0.7125173086059655,Sotah,~20 min (detailed),Concentrated exploration of rabbinic hermeneutical approaches to Scripture
FC-14,דרוש ופירוש - Talmudic Biblical Interpretation,160317291.pharaohs-daughter-rescuing-moses,Pharaoh’s Daughter Rescuing Moses in Exodus 2:6-9 (Sotah 12b),6,7,0.7125173086059655,Sotah,~21 min (detailed),Concentrated exploration of rabbinic hermeneutical approaches to Scripture
FC-14,דרוש ופירוש - Talmudic Biblical Interpretation,160169524.pharaohs-decrees-and-amrams-response,Pharaoh’s Decrees and Amram’s Response: Talmudic Interpretations of Exodus 1:16-2:3 (Sotah 12a),7,7,0.7125173086059655,Sotah,~27 min (detailed),Concentrated exploration of rabbinic hermeneutical approaches to Scripture
FC-15,תלמוד דיגיטלי - Digital Talmudic Studies and Computational Methods,143595877.four-riddle-like-aggadic-statements,"Four Riddle-like Aggadic Statements and Their Interpretations By R’ Ezra, Grandson of R’ Eutolus (Menachot 53a-b)",1,6,0.7045896389143699,Sanhedrin; Shabbat,~3 min,Explores applications of technology and digital methods to traditional Jewish texts
FC-15,תלמוד דיגיטלי - Digital Talmudic Studies and Computational Methods,141359463.the-likes-of-which-were-not-said,“The likes of which were not said even in the days of Yehoshua bin Nun”: Talmudic Homiletics on the Hebrew Alphabet - Pt.1 - the Names and Shapes of Letters (Shabbat 104a),2,6,0.7045896389143699,Sanhedrin; Shabbat,~9 min,Explores applications of technology and digital methods to traditional Jewish texts
FC-15,תלמוד דיגיטלי - Digital Talmudic Studies and Computational Methods,161000047.pt1-expressions-of-praise-in-the,Pt1 Expressions of praise in the Book of Psalms and the Origin of the Hallel Prayer (Pesachim 117a),3,6,0.7045896389143699,Sanhedrin; Shabbat,~14 min (detailed),Explores applications of technology and digital methods to traditional Jewish texts
FC-15,תלמוד דיגיטלי - Digital Talmudic Studies and Computational Methods,165166956.where-in-scripture-is-notarikon-found,‘Where in Scripture is Notarikon Found?’: Talmudic Interpretation of Biblical Words as Acronyms (Shabbat 105a),4,6,0.7045896389143699,Sanhedrin; Shabbat,~14 min (detailed),Explores applications of technology and digital methods to traditional Jewish texts
FC-15,תלמוד דיגיטלי - Digital Talmudic Studies and Computational Methods,156656729.from-addir-to-zeh-repetitive-riddles,"From ""Addir"" to ""Zeh"": Repetitive Riddles, Symbolic Wordplay, and Biblical Allusions in R’ Ezra’s Homilies (Menachot 53a-b)",5,6,0.7045896389143699,Sanhedrin; Shabbat,~22 min (detailed),Explores applications of technology and digital methods to traditional Jewish texts
FC-15,תלמוד דיגיטלי - Digital Talmudic Studies and Computational Methods,158088721.the-evolution-of-hebrew-script-and,The Evolution of Hebrew Script and Ezra’s Role in Torah Transmission (Sanhedrin 21b-22a),6,6,0.7045896389143699,Sanhedrin; Shabbat,~34 min (detailed),Explores applications of technology and digital methods to traditional Jewish texts
